Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1962,0,5,5.233814805284689,1.880517927929759,70.09158097207546,8649.0,6.349354060693284,0.0,5,5,6,7,8,10,12,14,62,70,70
GET,/catalogue,11017,0,8,8.58825846675417,4.117358010262251,82.25638803560287,2795.0,35.652820431527985,0.0,8,9,9,10,12,13,16,19,37,80,82
GET,/category.html,11018,0,5,5.689726437072282,1.9442400662228465,80.44900605455041,11518.0,35.656056595677164,0.0,5,6,7,7,9,11,14,16,43,73,80
GET,/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b,1196,0,5,5.774687376437105,2.118660951964557,65.71528594940901,10364.0,3.8704523224205745,0.0,5,6,7,8,9,11,14,17,62,66,66
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,1228,0,5,5.674350052481936,2.181815099902451,81.98979205917567,10364.0,3.974009575194369,0.0,5,6,7,7,9,11,14,16,26,82,82
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,1239,0,5,5.698970692642664,2.1947030909359455,64.33257891330868,10364.0,4.009607380835361,0.0,5,6,7,7,9,12,14,16,61,64,64
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,1175,0,5,5.790163255990185,2.168550039641559,69.8315070476383,10364.0,3.802492875287772,0.0,5,6,7,7,9,12,15,17,41,70,70
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,1201,0,5,5.768705379364424,2.1239370107650757,86.68200694955885,10364.0,3.88663314316648,0.0,5,6,7,7,9,11,14,17,25,87,87
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,1188,0,5,5.6528654977442505,2.1374840289354324,22.065768018364906,10364.0,3.844563009227126,0.0,5,6,7,7,10,12,14,15,21,22,22
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,1253,0,5,5.629271123627407,2.107682987116277,24.77682800963521,10364.0,4.054913678923897,0.0,5,6,7,7,9,11,14,16,23,25,25
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,1150,0,5,5.834800517793907,2.163573051802814,72.88983894977719,10364.0,3.721588771558245,0.0,5,6,7,7,10,12,15,17,68,73,73
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,1244,0,5,5.924276448524231,2.160299103707075,71.66616804897785,10364.0,4.025788201581267,0.0,5,6,7,8,10,12,15,17,64,72,72
GET,/login,1962,0,60,60.94478294743457,51.75840004812926,112.44907008949667,13.0,6.349354060693284,0.0,60,62,63,64,66,68,72,74,93,110,110
,Aggregated,36833,0,6,9.493249783363742,1.880517927929759,112.44907008949667,7802.536285396248,119.19763410678681,0.0,6,8,9,9,12,56,62,64,73,92,110
